venue,innings,batting_team,bowling_team,batsmen,bowler,total_runs
Brabourne Stadium,1,Rajasthan Royals,Kolkata Knight Riders,"SR Watson, AM Rahane","Azhar Mahmood, M Morkel, UT Yadav, Shakib Al Hasan",66
Brabourne Stadium,2,Kolkata Knight Riders,Rajasthan Royals,"G Gambhir, YK Pathan, MK Pandey, RV Uthappa","BB Sran, CH Morris, DS Kulkarni",53
M.Chinnaswamy Stadium,1,Delhi Capitals,Royal Challengers Bangalore,"Q de Kock, SS Iyer","D Wiese, AB Dinda, MA Starc, HV Patel",54
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Delhi Capitals,"CH Gayle, V Kohli","J Yadav, Z Khan",2
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Mumbai Indians,"S Dhawan, KL Rahul, EJG Morgan, MC Henriques, DA Warner","R Vinay Kumar, MJ McClenaghan, SL Malinga",29
"Rajiv Gandhi International Stadium, Uppal",2,Mumbai Indians,Sunrisers Hyderabad,"PA Patel, LMP Simmons","P Kumar, DW Steyn, MC Henriques, B Kumar",38
"Wankhede Stadium, Mumbai",1,Mumbai Indians,Chennai Super Kings,"PA Patel, LMP Simmons","R Ashwin, A Nehra",48
"Wankhede Stadium, Mumbai",2,Chennai Super Kings,Mumbai Indians,"DR Smith, MEK Hussey, SK Raina, F du Plessis","R Vinay Kumar, MJ McClenaghan, SL Malinga",54
Maharashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,"CH Gayle, V Kohli","DS Kulkarni, JP Faulkner, SR Watson, CH Morris",41
Maharashtra Cricket Association Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,"SV Samson, SR Watson, SPD Smith, AM Rahane","S Aravind, MA Starc, HV Patel",40
JSCA International Stadium Complex,1,Royal Challengers Bangalore,Chennai Super Kings,"Mandeep Singh, AB de Villiers, CH Gayle, V Kohli","R Ashwin, A Nehra",29
JSCA International Stadium Complex,2,Chennai Super Kings,Royal Challengers Bangalore,"DR Smith, MEK Hussey, F du Plessis","S Aravind, MA Starc, HV Patel",34
Eden Gardens,1,Mumbai Indians,Chennai Super Kings,"PA Patel, RG Sharma, LMP Simmons","R Ashwin, RA Jadeja, MM Sharma, A Nehra",61
Eden Gardens,2,Chennai Super Kings,Mumbai Indians,"DR Smith, MEK Hussey, SK Raina","R Vinay Kumar, MJ McClenaghan, SL Malinga",31
"Wankhede Stadium, Mumbai",1,Mumbai Indians,Rising Pune Supergiant,"JC Buttler, HH Pandya, KA Pollard, AT Rayudu, LMP Simmons, RG Sharma","I Sharma, MR Marsh, RP Singh",37
"Wankhede Stadium, Mumbai",2,Rising Pune Supergiant,Mumbai Indians,"F du Plessis, AM Rahane","MJ McClenaghan, JJ Bumrah",57
Eden Gardens,1,Delhi Capitals,Kolkata Knight Riders,"P Negi, KK Nair, SV Samson, MA Agarwal, Q de Kock, SS Iyer","AD Russell, JW Hastings, UT Yadav",35
Eden Gardens,2,Kolkata Knight Riders,Delhi Capitals,"G Gambhir, RV Uthappa","NM Coulter-Nile, CH Morris, Z Khan",47
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Gujarat Lions,"M Vohra, M Vijay","P Kumar, JP Faulkner, PJ Sangwan, S Ladda",52
"Punjab Cricket Association Stadium, Mohali",2,Gujarat Lions,Punjab Kings,"BB McCullum, AJ Finch, SK Raina","MP Stoinis, Sandeep Sharma, MM Sharma, MG Johnson",57
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,"AB de Villiers, CH Gayle, V Kohli","A Nehra, B Kumar, Mustafizur Rahman",49
M.Chinnaswamy Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,"MC Henriques, S Dhawan, DA Warner","HV Patel, AF Milne, Parvez Rasool, SR Watson",56
Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,"G Gambhir, MK Pandey, RV Uthappa","MJ McClenaghan, JJ Bumrah, TG Southee",40
Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,"HH Pandya, PA Patel, RG Sharma","AD Russell, JW Hastings, GB Hogg",53
Saurashtra Cricket Association Stadium,1,Rising Pune Supergiant,Gujarat Lions,"F du Plessis, KP Pietersen, AM Rahane","P Kumar, DJ Bravo, PV Tambe, SB Jakati",57
Saurashtra Cricket Association Stadium,2,Gujarat Lions,Rising Pune Supergiant,"BB McCullum, AJ Finch","M Ashwin, I Sharma, R Ashwin, RP Singh",62
Feroz Shah Kotla,1,Punjab Kings,Delhi Capitals,"M Vohra, M Vijay, SE Marsh","P Negi, CH Morris, Z Khan, CR Brathwaite",37
Feroz Shah Kotla,2,Delhi Capitals,Punjab Kings,"Q de Kock, SV Samson, SS Iyer","AR Patel, Sandeep Sharma, MM Sharma, MG Johnson",28
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Kolkata Knight Riders,"MC Henriques, EJG Morgan, S Dhawan, DA Warner","M Morkel, UT Yadav, Shakib Al Hasan",36
"Rajiv Gandhi International Stadium, Uppal",2,Kolkata Knight Riders,Sunrisers Hyderabad,"G Gambhir, RV Uthappa","BB Sran, Mustafizur Rahman, B Kumar",36
"Wankhede Stadium, Mumbai",1,Mumbai Indians,Gujarat Lions,"HH Pandya, PA Patel, RG Sharma, JC Buttler","P Kumar, DS Kulkarni",31
"Wankhede Stadium, Mumbai",2,Gujarat Lions,Mumbai Indians,"BB McCullum, AJ Finch, SK Raina","KH Pandya, MJ McClenaghan, JJ Bumrah, TG Southee",42
"Punjab Cricket Association Stadium, Mohali",1,Rising Pune Supergiant,Punjab Kings,"F du Plessis, KP Pietersen, AM Rahane","KJ Abbott, Sandeep Sharma, AR Patel, P Sahu",49
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Rising Pune Supergiant,"M Vohra, M Vijay","Ankit Sharma, R Ashwin, I Sharma",50
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Capitals,"AB de Villiers, CH Gayle, V Kohli","Mohammed Shami, CH Morris, Z Khan",63
M.Chinnaswamy Stadium,2,Delhi Capitals,Royal Challengers Bangalore,"Q de Kock, KK Nair, SV Samson, SS Iyer","SR Watson, S Aravind, Parvez Rasool",51
"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Sunrisers Hyderabad,"PA Patel, RG Sharma, MJ Guptill, AT Rayudu","BB Sran, MC Henriques, B Kumar, Mustafizur Rahman",40
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Mumbai Indians,"MC Henriques, S Dhawan, DA Warner","Harbhajan Singh, MJ McClenaghan, JJ Bumrah, TG Southee",33
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Kolkata Knight Riders,"M Vohra, M Vijay, SE Marsh","M Morkel, UT Yadav, Shakib Al Hasan",41
"Punjab Cricket Association Stadium, Mohali",2,Kolkata Knight Riders,Punjab Kings,"G Gambhir, RV Uthappa","AR Patel, KJ Abbott, Sandeep Sharma, MM Sharma",65
"Wankhede Stadium, Mumbai",1,Royal Challengers Bangalore,Mumbai Indians,"KL Rahul, AB de Villiers, V Kohli","MJ McClenaghan, JJ Bumrah, TG Southee",49
"Wankhede Stadium, Mumbai",2,Mumbai Indians,Royal Challengers Bangalore,"PA Patel, RG Sharma, AT Rayudu","SR Watson, KW Richardson, VR Aaron",51
Saurashtra Cricket Association Stadium,1,Gujarat Lions,Sunrisers Hyderabad,"BB McCullum, AJ Finch, SK Raina","BB Sran, Mustafizur Rahman, B Kumar, DJ Hooda",50
Saurashtra Cricket Association Stadium,2,Sunrisers Hyderabad,Gujarat Lions,"S Dhawan, DA Warner","P Kumar, DW Steyn, DJ Bravo, SK Raina",63
Maharashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Rising Pune Supergiant,"KL Rahul, AB de Villiers, V Kohli","Ankit Sharma, NLTC Perera, I Sharma",48
Maharashtra Cricket Association Stadium,2,Rising Pune Supergiant,Royal Challengers Bangalore,"AM Rahane, KP Pietersen, F du Plessis, SPD Smith, MS Dhoni","STR Binny, SR Watson, KW Richardson, HV Patel",36
Feroz Shah Kotla,1,Delhi Capitals,Mumbai Indians,"Q de Kock, SV Samson, SS Iyer","KH Pandya, MJ McClenaghan, JJ Bumrah, TG Southee",41
Feroz Shah Kotla,2,Mumbai Indians,Delhi Capitals,"PA Patel, RG Sharma, AT Rayudu","P Negi, Mohammed Shami, CH Morris, Z Khan",52
"Rajiv Gandhi International Stadium, Uppal",1,Punjab Kings,Sunrisers Hyderabad,"M Vohra, DA Miller, M Vijay, SE Marsh","BB Sran, Mustafizur Rahman, B Kumar, DJ Hooda",35
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Punjab Kings,"S Dhawan, DA Warner","GJ Maxwell, KJ Abbott, Sandeep Sharma, MM Sharma",65
Saurashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Gujarat Lions,"AB de Villiers, SR Watson, V Kohli","P Kumar, SB Jakati, PV Tambe, DS Kulkarni",50
Saurashtra Cricket Association Stadium,2,Gujarat Lions,Royal Challengers Bangalore,"DR Smith, BB McCullum","YS Chahal, KW Richardson, Iqbal Abdulla, SR Watson",72
Maharashtra Cricket Association Stadium,1,Rising Pune Supergiant,Kolkata Knight Riders,"F du Plessis, SPD Smith, AM Rahane","AD Russell, SP Narine, M Morkel, Shakib Al Hasan",31
Maharashtra Cricket Association Stadium,2,Kolkata Knight Riders,Rising Pune Supergiant,"G Gambhir, Shakib Al Hasan, SA Yadav, RV Uthappa","R Ashwin, NLTC Perera, JA Morkel",59
"Punjab Cricket Association Stadium, Mohali",1,Mumbai Indians,Punjab Kings,"PA Patel, RG Sharma, AT Rayudu","Sandeep Sharma, AR Patel, MG Johnson",39
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Mumbai Indians,"M Vohra, GJ Maxwell, M Vijay, SE Marsh","MJ McClenaghan, JJ Bumrah, TG Southee",40
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Rising Pune Supergiant,"DJ Hooda, S Dhawan, EJG Morgan, DA Warner, AP Tare","AB Dinda, NLTC Perera, MR Marsh",27
"Rajiv Gandhi International Stadium, Uppal",2,Rising Pune Supergiant,Sunrisers Hyderabad,"F du Plessis, SPD Smith, AM Rahane","A Nehra, B Kumar, Mustafizur Rahman",46
Feroz Shah Kotla,1,Gujarat Lions,Delhi Capitals,"DR Smith, BB McCullum","CH Morris, Z Khan, S Nadeem",71
Feroz Shah Kotla,2,Delhi Capitals,Gujarat Lions,"RR Pant, JP Duminy, KK Nair, SV Samson, Q de Kock","P Kumar, DS Kulkarni",22
"Wankhede Stadium, Mumbai",1,Kolkata Knight Riders,Mumbai Indians,"G Gambhir, RV Uthappa","Harbhajan Singh, MJ McClenaghan, JJ Bumrah, TG Southee",59
"Wankhede Stadium, Mumbai",2,Mumbai Indians,Kolkata Knight Riders,"PA Patel, RG Sharma, AT Rayudu","JD Unadkat, UT Yadav, Shakib Al Hasan, SP Narine",64
Maharashtra Cricket Association Stadium,1,Rising Pune Supergiant,Gujarat Lions,"SS Tiwary, SPD Smith, AM Rahane","P Kumar, DS Kulkarni",48
Maharashtra Cricket Association Stadium,2,Gujarat Lions,Rising Pune Supergiant,"DR Smith, BB McCullum","AB Dinda, R Ashwin, NLTC Perera, JA Morkel",72
Feroz Shah Kotla,1,Delhi Capitals,Kolkata Knight Riders,"KK Nair, SV Samson, SW Billings, Q de Kock, SS Iyer","AD Russell, SP Narine, JO Holder",37
Feroz Shah Kotla,2,Kolkata Knight Riders,Delhi Capitals,"G Gambhir, PP Chawla, YK Pathan, RV Uthappa","Mohammed Shami, Z Khan",43
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Royal Challengers Bangalore,"KS Williamson, S Dhawan, DA Warner","VR Aaron, Parvez Rasool, KW Richardson, SR Watson, HV Patel",49
"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Sunrisers Hyderabad,"KL Rahul, AB de Villiers, V Kohli","A Nehra, B Kumar, Mustafizur Rahman",45
Saurashtra Cricket Association Stadium,1,Punjab Kings,Gujarat Lions,"M Vijay, MP Stoinis","P Kumar, RA Jadeja, DS Kulkarni",59
Saurashtra Cricket Association Stadium,2,Gujarat Lions,Punjab Kings,"DR Smith, KD Karthik, BB McCullum, SK Raina","KC Cariappa, Sandeep Sharma, MP Stoinis, AR Patel, MM Sharma",36
Maharashtra Cricket Association Stadium,1,Rising Pune Supergiant,Mumbai Indians,"SS Tiwary, SPD Smith, AM Rahane","KH Pandya, MJ McClenaghan, JJ Bumrah, TG Southee",54
Maharashtra Cricket Association Stadium,2,Mumbai Indians,Rising Pune Supergiant,"PA Patel, RG Sharma, AT Rayudu","AB Dinda, NLTC Perera, SM Boland",47
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,"KL Rahul, CH Gayle, V Kohli","AD Russell, M Morkel, SP Narine",40
M.Chinnaswamy Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,"G Gambhir, CA Lynn, MK Pandey, RV Uthappa","YS Chahal, VR Aaron, SR Watson, STR Binny, S Aravind",37
Saurashtra Cricket Association Stadium,1,Gujarat Lions,Delhi Capitals,"AJ Finch, SK Raina, KD Karthik, BB McCullum, DR Smith","Mohammed Shami, CH Morris, Z Khan, S Nadeem",35
Saurashtra Cricket Association Stadium,2,Delhi Capitals,Gujarat Lions,"Q de Kock, RR Pant","P Kumar, DS Kulkarni, SK Raina",61
Eden Gardens,1,Kolkata Knight Riders,Punjab Kings,"G Gambhir, RV Uthappa","MP Stoinis, Sandeep Sharma, MM Sharma, AR Patel",40
Eden Gardens,2,Punjab Kings,Kolkata Knight Riders,"M Vohra, M Vijay, GJ Maxwell, MP Stoinis, WP Saha","AD Russell, M Morkel, UT Yadav",37
Feroz Shah Kotla,1,Delhi Capitals,Rising Pune Supergiant,"SV Samson, RR Pant, KK Nair","AB Dinda, NLTC Perera, SM Boland",48
Feroz Shah Kotla,2,Rising Pune Supergiant,Delhi Capitals,"UT Khawaja, AM Rahane","J Yadav, Mohammed Shami, CR Brathwaite",50
"Rajiv Gandhi International Stadium, Uppal",1,Gujarat Lions,Sunrisers Hyderabad,"AJ Finch, SK Raina, KD Karthik, BB McCullum, DR Smith","A Nehra, B Kumar, Mustafizur Rahman",26
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Gujarat Lions,"MC Henriques, KS Williamson, S Dhawan, DA Warner","P Kumar, PJ Sangwan, DS Kulkarni",38
M.Chinnaswamy Stadium,1,Rising Pune Supergiant,Royal Challengers Bangalore,"SS Tiwary, UT Khawaja, AM Rahane","CJ Jordan, VR Aaron, Parvez Rasool, STR Binny, SR Watson",60
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rising Pune Supergiant,"KL Rahul, V Kohli","AB Dinda, NLTC Perera, RP Singh",46
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Delhi Capitals,"M Vijay, MP Stoinis, HM Amla","Mohammed Shami, CH Morris, Z Khan, S Nadeem",45
"Punjab Cricket Association Stadium, Mohali",2,Delhi Capitals,Punjab Kings,"Q de Kock, SV Samson","KC Cariappa, Sandeep Sharma, MP Stoinis, AR Patel, MM Sharma",51
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Mumbai Indians,"S Dhawan, DA Warner","MJ McClenaghan, JJ Bumrah, Harbhajan Singh, TG Southee",51
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Mumbai Indians,Sunrisers Hyderabad,"PA Patel, KH Pandya, JC Buttler, HH Pandya, KA Pollard, AT Rayudu, RG Sharma","BB Sran, A Nehra, B Kumar",32
Eden Gardens,1,Kolkata Knight Riders,Gujarat Lions,"G Gambhir, MK Pandey, SA Yadav, Shakib Al Hasan, YK Pathan, RV Uthappa","P Kumar, DR Smith, DS Kulkarni",28
Eden Gardens,2,Gujarat Lions,Kolkata Knight Riders,"DR Smith, BB McCullum, SK Raina","AD Russell, M Morkel, PP Chawla, Shakib Al Hasan",46
"Punjab Cricket Association Stadium, Mohali",1,Royal Challengers Bangalore,Punjab Kings,"KL Rahul, V Kohli","Sandeep Sharma, MP Stoinis, AR Patel, MM Sharma, Anureet Singh",56
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Royal Challengers Bangalore,"WP Saha, HM Amla, M Vijay","STR Binny, YS Chahal, CJ Jordan, SR Watson",50
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Rising Pune Supergiant,"KS Williamson, S Dhawan, DA Warner","AB Dinda, RP Singh",34
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Rising Pune Supergiant,Sunrisers Hyderabad,"GJ Bailey, R Ashwin, UT Khawaja, AM Rahane","BB Sran, A Nehra, B Kumar",25
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"KL Rahul, AB de Villiers, CH Gayle, V Kohli","KH Pandya, MJ McClenaghan, JJ Bumrah, TG Southee",25
M.Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"PA Patel, RG Sharma, AT Rayudu","STR Binny, S Aravind, CJ Jordan, SR Watson",39
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Delhi Capitals,"S Dhawan, DA Warner","J Yadav, Mohammed Shami, NM Coulter-Nile",51
"Rajiv Gandhi International Stadium, Uppal",2,Delhi Capitals,Sunrisers Hyderabad,"Q de Kock, KK Nair, MA Agarwal","BB Sran, A Nehra, B Kumar, Mustafizur Rahman",50
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Mumbai Indians,Punjab Kings,"N Rana, AT Rayudu, RG Sharma, UBT Chand","AR Patel, Sandeep Sharma, MM Sharma",21
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Punjab Kings,Mumbai Indians,"M Vijay, WP Saha, HM Amla","KH Pandya, MJ McClenaghan, JJ Bumrah, TG Southee",32
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Gujarat Lions,"AB de Villiers, CH Gayle, V Kohli","P Kumar, S Kaushik, PV Tambe, DS Kulkarni",42
M.Chinnaswamy Stadium,2,Gujarat Lions,Royal Challengers Bangalore,"DR Smith, KD Karthik, RA Jadeja, BB McCullum","YS Chahal, STR Binny, S Aravind, SR Watson",41
Eden Gardens,1,Rising Pune Supergiant,Kolkata Knight Riders,"GJ Bailey, SS Tiwary, UT Khawaja, AM Rahane","AD Russell, M Morkel, Shakib Al Hasan",37
Eden Gardens,2,Kolkata Knight Riders,Rising Pune Supergiant,"G Gambhir, YK Pathan, MK Pandey, RV Uthappa","A Zampa, AB Dinda, R Ashwin, M Ashwin",66
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Sunrisers Hyderabad,"WP Saha, HM Amla, M Vijay","BCJ Cutting, A Nehra, B Kumar, Mustafizur Rahman",47
"Punjab Cricket Association Stadium, Mohali",2,Sunrisers Hyderabad,Punjab Kings,"S Dhawan, DA Warner","Sandeep Sharma, M Vijay, GJ Maxwell, MP Stoinis, MM Sharma, Anureet Singh",55
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Mumbai Indians,Delhi Capitals,"RG Sharma, MJ Guptill","CH Morris, Z Khan, S Nadeem",45
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Delhi Capitals,Mumbai Indians,"Q de Kock, KK Nair, MA Agarwal, SV Samson","R Vinay Kumar, Harbhajan Singh, JJ Bumrah, MJ McClenaghan",49
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,"G Gambhir, MK Pandey, RV Uthappa","STR Binny, S Aravind, Iqbal Abdulla, SR Watson",51
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,"CH Gayle, V Kohli","AD Russell, M Morkel, PP Chawla, SP Narine",63
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Delhi Capitals,Rising Pune Supergiant,"Q de Kock, KK Nair, SV Samson, SS Iyer","AB Dinda, NLTC Perera, DL Chahar",28
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Rising Pune Supergiant,Delhi Capitals,"GJ Bailey, UT Khawaja, AM Rahane","NM Coulter-Nile, CH Morris, Z Khan",44
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Punjab Kings,"CH Gayle, V Kohli","KC Cariappa, KJ Abbott, Sandeep Sharma, AR Patel, MM Sharma",63
M.Chinnaswamy Stadium,2,Punjab Kings,Royal Challengers Bangalore,"DA Miller, M Vijay, Gurkeerat Singh, HM Amla, AR Patel, WP Saha","CJ Jordan, YS Chahal, SR Watson, STR Binny, S Aravind",59
Green Park,1,Kolkata Knight Riders,Gujarat Lions,"G Gambhir, PP Chawla, MK Pandey, RV Uthappa","P Kumar, DR Smith, DS Kulkarni",44
Green Park,2,Gujarat Lions,Kolkata Knight Riders,"AJ Finch, SK Raina, KD Karthik, BB McCullum, DR Smith","AS Rajpoot, M Morkel, SP Narine",55
Shaheed Veer Narayan Singh International Stadium,1,Sunrisers Hyderabad,Delhi Capitals,"S Dhawan, DA Warner","J Yadav, NM Coulter-Nile, Z Khan, CR Brathwaite",46
Shaheed Veer Narayan Singh International Stadium,2,Delhi Capitals,Sunrisers Hyderabad,"Q de Kock, RR Pant, KK Nair","BB Sran, Mustafizur Rahman, B Kumar",37
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Punjab Kings,Rising Pune Supergiant,"HM Amla, M Vijay","IK Pathan, AB Dinda, NLTC Perera, DL Chahar",52
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Rising Pune Supergiant,Punjab Kings,"GJ Bailey, UT Khawaja, AM Rahane","KJ Abbott, Sandeep Sharma, MM Sharma",44
Green Park,1,Mumbai Indians,Gujarat Lions,"N Rana, KH Pandya, JC Buttler, MJ Guptill, RG Sharma","P Kumar, DR Smith, DS Kulkarni",49
Green Park,2,Gujarat Lions,Mumbai Indians,"BB McCullum, AJ Finch, SK Raina","R Vinay Kumar, MJ McClenaghan, JJ Bumrah, KH Pandya",70
Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,"G Gambhir, C Munro, RV Uthappa","BB Sran, KS Williamson, B Kumar, DJ Hooda",48
Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,"NV Ojha, S Dhawan, DA Warner","AS Rajpoot, SP Narine, Shakib Al Hasan, YK Pathan",48
Shaheed Veer Narayan Singh International Stadium,1,Delhi Capitals,Royal Challengers Bangalore,"Q de Kock, RR Pant, KK Nair","CJ Jordan, YS Chahal, SR Watson, STR Binny, S Aravind",43
Shaheed Veer Narayan Singh International Stadium,2,Royal Challengers Bangalore,Delhi Capitals,"KL Rahul, AB de Villiers, CH Gayle, V Kohli","CH Morris, Z Khan",49
M.Chinnaswamy Stadium,1,Gujarat Lions,Royal Challengers Bangalore,"AJ Finch, SK Raina, KD Karthik, BB McCullum, DR Smith","S Aravind, Iqbal Abdulla, SR Watson",23
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Gujarat Lions,"CH Gayle, KL Rahul, Sachin Baby, STR Binny, AB de Villiers, SR Watson, V Kohli","P Kumar, RA Jadeja, DS Kulkarni",31
Feroz Shah Kotla,1,Sunrisers Hyderabad,Kolkata Knight Riders,"MC Henriques, S Dhawan, DA Warner","M Morkel, SP Narine, YK Pathan",43
Feroz Shah Kotla,2,Kolkata Knight Riders,Sunrisers Hyderabad,"G Gambhir, C Munro, RV Uthappa","BB Sran, Mustafizur Rahman, B Kumar, DJ Hooda",46
Feroz Shah Kotla,1,Gujarat Lions,Sunrisers Hyderabad,"BB McCullum, KD Karthik, ER Dwivedi, SK Raina","BB Sran, Bipul Sharma, TA Boult, B Kumar",38
Feroz Shah Kotla,2,Sunrisers Hyderabad,Gujarat Lions,"MC Henriques, Yuvraj Singh, S Dhawan, DA Warner","P Kumar, DR Smith, DS Kulkarni, SK Raina",46
M.Chinnaswamy Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,"S Dhawan, DA Warner","S Aravind, CH Gayle, SR Watson",59
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,"CH Gayle, V Kohli","BB Sran, BCJ Cutting, Mustafizur Rahman, B Kumar",59
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Royal Challengers Bangalore,"MC Henriques, S Dhawan, DA Warner","YS Chahal, SR Watson, TS Mills, A Choudhary, S Aravind",59
"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Sunrisers Hyderabad,"Mandeep Singh, CH Gayle, TM Head","Rashid Khan, BCJ Cutting, A Nehra, B Kumar",54
Maharashtra Cricket Association Stadium,1,Mumbai Indians,Rising Pune Supergiant,"PA Patel, RG Sharma, JC Buttler","Imran Tahir, AB Dinda, BA Stokes, DL Chahar",61
Maharashtra Cricket Association Stadium,2,Rising Pune Supergiant,Mumbai Indians,"MA Agarwal, SPD Smith, AM Rahane","HH Pandya, MJ McClenaghan, JJ Bumrah, TG Southee",59
Saurashtra Cricket Association Stadium,1,Gujarat Lions,Kolkata Knight Riders,"BB McCullum, JJ Roy, SK Raina","TA Boult, PP Chawla, SP Narine, CR Woakes",52
Saurashtra Cricket Association Stadium,2,Kolkata Knight Riders,Gujarat Lions,"G Gambhir, CA Lynn","P Kumar, S Kaushik, MS Gony, DS Kulkarni",73
Holkar Cricket Stadium,1,Rising Pune Supergiant,Punjab Kings,"MA Agarwal, SPD Smith, AM Rahane","AR Patel, Sandeep Sharma, MM Sharma",35
Holkar Cricket Stadium,2,Punjab Kings,Rising Pune Supergiant,"M Vohra, HM Amla, AR Patel, WP Saha","AB Dinda, BA Stokes, DT Christian, Imran Tahir",56
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Capitals,"Mandeep Singh, CH Gayle, KM Jadhav, SR Watson","PJ Cummins, CH Morris, Z Khan, S Nadeem",41
